ID;Název;Autor;ISBN;Rok vydání;Vydavatel;Jazyk;Žánr;Počet stran;Popis
1;1984;George Orwell;978-80-257-1364-7;2015;Argo;Čeština;Sci-fi;316;Mrazivá vize totalitní společnosti, kde Velký bratr sleduje každý váš krok a kde je i myšlenka zločinem.
2;Malý princ;Antoine de Saint-Exupéry;978-80-00-04473-5;2016;Albatros;Čeština;Pohádka;96;Nadčasový příběh o setkání pilota s malým chlapcem z jiné planety, který učí o lásce a odpovědnosti.
3;Harry Potter a Kámen mudrců;J.K. Rowlingová;978-80-00-06339-2;2021;Albatros;Čeština;Fantasy;336;Sirotek Harry zjistí, že je čaroděj, a nastupuje do Bradavic, kde čelí temnému zlu.
4;Pán prstenů: Společenstvo prstenu;J.R.R. Tolkien;978-80-257-0741-7;2012;Argo;Čeština;Fantasy;430;Frodo Pytlík se vydává na nebezpečnou cestu, aby zničil Vládnoucí prsten a zachránil Středozem.
5;Alchymista;Paulo Coelho;978-80-257-3746-9;2022;Argo;Čeština;Román;192;Příběh pastýře Santiaga putujícího za svým osobním příběhem a pokladem k egyptským pyramidám.
6;Osudy dobrého vojáka Švejka;Jaroslav Hašek;978-80-7306-324-4;2008;BETA;Čeština;Satira;760;Geniální idiot Josef Švejk proplouvá absurditou první světové války a rozkládá armádu zevnitř.
7;Velký Gatsby;F. Scott Fitzgerald;978-80-7335-611-7;2019;Leda;Čeština;Román;240;Příběh o nenaplněné lásce a americkém snu na pozadí bouřlivých 20. let a jazzového věku.
8;Pýcha a předsudek;Jane Austenová;978-80-7335-562-2;2018;Leda;Čeština;Romantický;408;Elizabeth Bennetová a pan Darcy musí překonat společenské rozdíly a vlastní předsudky.
9;Sapiens: Úchvatný i úděsný příběh lidstva;Yuval Noah Harari;978-80-7335-603-2;2018;Leda;Čeština;Literatura faktu;448;Fascinující historie lidského druhu od doby kamenné po současnost a vliv biologie na dějiny.
10;To (It);Stephen King;978-80-7306-896-6;2017;BETA;Čeština;Horor;1096;Skupina přátel bojuje proti prastarému zlu v podobě klauna, které se v jejich městě probouzí každých 27 let.
